VL1,VL2,VL3,IL1,IL2,IL3,PFL3
260.58,260.73,265.58,51.728,27.205,15.966,0.91
260.11,261.29,265.17,54.068,27.053,17.959,0.93
259.81,261.85,265.92,56.889,26.947,15.873,0.91
259.95,261.96,265.99,56.611,26.818,15.728,0.91
259.95,261.9,265.77,56.568,26.82,16.458,0.9
261.2,262.08,266.27,54.756,26.853,17.041,0.89
262.16,261.94,266.16,52.082,26.857,17.923,0.88
262.39,262.13,266.3,51.671,26.869,17.946,0.88
261.98,261.93,266.49,51.528,26.869,16.307,0.89
261.69,261.64,266.2,51.486,26.852,16.706,0.91
261.93,262.25,266.63,53.468,26.874,16.954,0.91
261.63,262.49,266.89,54.664,26.869,15.748,0.9
261.13,262.83,266.86,57.26,27.239,16.57,0.9
261.22,262.96,266.93,56.772,27.048,16.114,0.9
261.4,263.02,266.79,55.084,26.876,15.966,0.9
262.05,262.62,266.17,53.271,26.865,17.811,0.88
262.65,262.3,266.27,51.555,26.862,18.101,0.88
262.65,262.48,266.55,51.495,26.841,17.256,0.89
262.5,262.64,266.32,53.864,27.356,19.206,0.92
262.28,262.48,266.78,53.558,27.124,16.594,0.91
262.09,262.24,266.67,53.36,26.819,15.987,0.9
261.6,262.24,266.48,54.583,26.81,15.952,0.9
261.38,262.96,266.74,55.439,26.807,15.98,0.9
261.02,262.63,266.25,54.544,26.819,16.509,0.9
261.19,262.64,266.2,54.468,26.809,17.078,0.89
261.74,262.62,266.34,53.434,26.8,17.243,0.89
262.27,262.44,266.57,53.07,26.796,17.18,0.89
262.41,262.75,266.32,53.384,26.775,19.059,0.92
262.42,262.58,266.81,53.273,26.76,16.988,0.89
262.08,262.37,266.63,53.232,26.773,16.519,0.9
262.16,262.34,266.41,52.325,26.785,16.729,0.9
262.59,262.68,266.65,52.083,27.025,17.295,0.89
261.87,263.23,266.49,54.883,27.03,17.201,0.89
261.71,263.36,266.82,54.592,26.957,16.145,0.9
261.57,263.46,266.94,55.876,26.777,16.027,0.9
261.4,263.29,266.87,56.214,26.776,16.011,0.9
262.89,263.37,266.89,53.413,26.787,18.446,0.92
262.91,263.17,267.17,53.337,26.776,17.11,0.89
262.99,263.12,266.96,52.524,26.787,17.139,0.89
263.21,263.14,266.63,51.5,26.765,18.156,0.88
263.24,263.35,267.11,51.455,26.77,17.459,0.88
263.16,263.34,267.28,51.408,26.793,16.599,0.89
261.75,263.63,266.98,55.761,26.797,16.083,0.9
261.38,263.4,266.65,57.486,27.355,17.324,0.91
261.41,263.52,266.94,56.844,27.209,16.366,0.9
261.12,263.28,266.25,56.58,27.012,18.182,0.93
262.13,262.71,266.81,53.051,26.697,16.035,0.9
263.05,262.9,266.74,50.749,26.567,17.061,0.88
263.47,263.11,266.66,50.859,26.679,18.541,0.87
263.5,263.13,266.85,50.227,26.596,17.74,0.87
263.05,261.72,266.13,56.578,32.877,24.713,0.94
262.77,262.97,267.15,52.182,26.68,15.627,0.9
261.77,262.32,266.5,55.947,29.701,18.509,0.91
261.38,263.14,266.24,56.063,27.102,18.849,0.93
261.32,263.01,266.6,54.374,26.547,15.475,0.9
261.83,263.25,266.88,52.815,26.54,15.499,0.9
262.68,263.16,266.92,51.388,26.56,16.096,0.89
263.69,263.29,267.13,49.958,26.549,16.668,0.88
