IL1,IL2,IL3,PF
15.516,11.191,10.18,0.72
22.602,10.816,9.062,0.7
22.746,11.593,9.434,0.74
22.281,11.048,8.745,0.71
20.323,10.544,8.458,0.7
15.898,10.772,10.042,0.79
15.775,14.073,10.792,0.76
21.353,20.811,19.485,0.9
15.685,11.671,10.894,0.69
16.488,12.732,11.766,0.73
16.916,10.7,9.285,0.68
23.818,12.996,9.865,0.75
21.464,11.73,9.764,0.74
20.822,11.893,8.974,0.7
20.653,12.599,12.299,0.84
18.984,11.341,9.154,0.73
19.627,14.876,12.064,0.82
42.224,20.854,13.18,0.81
53.092,29.522,17.142,0.88
54.692,27.85,19.071,0.9
55.652,28.259,20.409,0.91
55.365,27.763,18.893,0.92
56.099,27.774,18.88,0.92
55.382,27.322,20.099,0.94
56.124,28.219,19.047,0.92
57.664,27.971,19.176,0.92
54.156,27.929,18.068,0.91
59.33,33.544,26.602,0.94
54.971,28.235,20.743,0.91
54.807,27.968,24.236,0.89
54.607,27.748,23.953,0.9
54.492,27.684,20.052,0.91
55.103,26.862,19.678,0.92
55.617,27.288,19.141,0.9
57.355,27.617,20.132,0.9
57.655,27.653,19.414,0.9
54.709,27.386,18.856,0.9
54.081,27.573,16.983,0.91
53.434,26.813,16.114,0.9
52.225,27.108,17.509,0.9
52.739,27.43,19.029,0.9
52.388,27.221,20.311,0.92
56.063,27.479,18.849,0.9
57.964,27.464,19.36,0.89
57.242,27.097,18.135,0.9
57.463,27.342,18.501,0.9
55.19,28.423,17.825,0.91
52.476,26.913,16.613,0.9
51.986,27.093,17.064,0.91
51.679,27.15,17.791,0.92
51.47,26.783,17.547,0.91
53.779,27.263,18.569,0.9
56.176,26.97,18.644,0.88
56.947,26.915,18.876,0.88
56.604,26.785,17.954,0.88
56.532,27.038,17.175,0.9
52.421,26.789,16.462,0.9
51.401,26.774,16.437,0.9
51.456,26.784,18.414,0.92
52.103,26.797,16.465,0.9
53.953,27.746,17.183,0.9
53.698,26.923,17.702,0.89
55.918,27.238,18.762,0.87
56.776,26.795,18.645,0.88
54.671,26.787,17.711,0.89
54.506,26.788,16.82,0.9
53.502,27.112,17.175,0.9
51.987,26.841,18.63,0.92
53.468,26.809,16.508,0.9
53.402,26.812,16.505,0.9
53.399,26.812,16.8,0.9
53.421,26.81,17.653,0.89
53.452,26.794,18.06,0.88
54.935,27.227,18.677,0.88
54.684,26.84,17.564,0.89
54.626,26.855,17.515,0.89
56.399,27.06,19.409,0.92
53.489,26.797,16.524,0.9
53.446,26.814,16.506,0.9
54.062,27.166,17.349,0.9
52.474,26.776,17.491,0.89
51.604,26.768,17.646,0.89
51.554,26.747,17.539,0.89
54.555,26.766,16.993,0.9
57.635,30.123,17.679,0.9
56.697,26.776,19.694,0.92
57.598,27.503,19.017,0.9
53.39,26.812,16.796,0.89
52.736,26.799,16.517,0.9
51.598,27.525,17.321,0.89
51.561,26.786,17.678,0.89
56.671,32.858,25.378,0.94
52.468,26.768,16.548,0.9
56.736,27.321,19.748,0.93
56.709,26.782,16.959,0.9
56.648,26.742,17.515,0.89
56.457,26.735,17.463,0.89
52.486,26.719,20.198,0.92
51.582,26.721,18.434,0.89
51.544,26.707,17.529,0.89
51.549,26.703,17.03,0.9
53.151,26.722,16.421,0.9
53.849,26.984,17.044,0.9
55.293,26.69,16.43,0.9
56.656,26.701,16.44,0.9
55.872,26.719,18.914,0.92
55.843,27.515,20.037,0.89
53.524,26.817,19.025,0.87
51.468,26.703,18.785,0.87
52.502,26.693,16.81,0.89
53.315,26.713,16.473,0.9
53.303,26.704,16.457,0.9
53.29,26.726,16.434,0.9
53.736,26.72,18.344,0.92
54.76,26.738,16.39,0.9
54.571,26.746,16.775,0.9
54.508,26.703,17.968,0.89
54.813,26.703,18.547,0.89
53.389,26.697,17.773,0.89
53.337,26.678,17.359,0.89
53.273,26.667,16.59,0.9
53.499,26.814,18.611,0.93
51.326,26.668,16.326,0.9
51.32,26.675,16.352,0.9
54.481,26.985,17.377,0.9
54.956,26.753,17.582,0.89
56.879,26.923,18.027,0.89
56.322,26.689,17.092,0.89
54.227,26.69,17.025,0.89
53.121,26.681,18.969,0.91
51.329,26.647,16.992,0.88
52.068,27.195,17.461,0.9
51.102,26.655,15.973,0.9
51.061,26.649,16.793,0.89
54.168,26.906,17.811,0.89
56.4,26.662,16.888,0.89
56.164,26.671,18.211,0.93
55.931,26.673,15.915,0.9
53.166,26.681,16.335,0.9
50.675,26.682,16.949,0.89
50.421,26.652,16.842,0.89
50.255,26.64,16.817,0.89
52.051,26.598,17.065,0.89
52.062,26.643,18.544,0.91
51.457,27.465,16.212,0.9
54.964,27.604,16.383,0.91
53.707,27.722,16.764,0.91
52.816,27.017,15.88,0.9
52.109,26.869,16.058,0.9
51.078,27.353,17.619,0.91
53.659,27.679,20.623,0.91
52.703,27.005,20.272,0.9
58.28,33.298,28.347,0.94
52.286,26.911,19.418,0.92
50.429,26.793,16.053,0.9
52.864,26.917,16.382,0.9
53.965,27.049,16.077,0.89
55.655,29.676,15.792,0.89
49.137,23.087,11.925,0.8
35.693,12.303,10.718,0.66
34.912,12.126,11.83,0.71
34.381,12.246,12.518,0.73
34.294,13.301,11.792,0.73
35.547,14.125,12.722,0.76
34.302,13.031,10.388,0.71
39.888,16.273,11.372,0.75
30.892,17.192,12.196,0.76
22.702,14.158,16.308,0.77
20.984,13.054,12.268,0.79
18.422,13.542,11.466,0.73
27.647,13.487,10.654,0.73
17.433,14.198,11.375,0.78
14.793,17.632,13.596,0.81
21.349,24.794,19.909,0.9
16.825,18.298,14.064,0.82
