VL1,VL2,VL3,IL1,IL2,IL3,PFL3
127.57,127.77,127.67,6.29,7.376,5.557,0.67
127.31,127.79,128.46,7.002,7.06,6.249,0.61
127.4,127.89,128.33,3.901,7.24,4.166,0.74
127.65,128.04,127.26,10.399,7.051,11.957,0.55
126.5,127.76,127.25,21.961,15.542,23.079,0.47
125.86,126.88,126.81,32.403,27.089,34.76,0.47
127.36,127.72,127.67,18.036,7.044,16.739,0.33
126.99,127.84,127.78,18.527,6.799,17.398,0.33
126.21,127.61,127.55,22.281,6.58,21.281,0.35
127.05,127.5,127.06,16.158,6.618,14.771,0.31
126.51,127.78,127.33,13.502,6.646,12.426,0.42
127.11,127.36,128.1,13.206,6.561,11.616,0.36
126.13,126.59,126.45,30.943,29.776,30.158,0.45
127.52,128.11,128.32,10.035,6.708,8.209,0.26
127.01,127.8,127.92,18.257,7.24,16.944,0.34
127.07,127.84,127.53,20.644,7.354,19.605,0.37
126.62,127.96,127.56,23.78,7.488,17.877,0.36
125.5,127.42,127.87,29.841,7.099,19.675,0.39
125.99,127.74,127.81,24.302,7.294,13.831,0.38
126.28,127.73,127.42,28.938,7.342,18.971,0.38
125.63,127.76,128.33,26.222,15.919,16.709,0.4
126.31,126.84,126.68,33.587,26.524,29.766,0.44
127.69,128.25,128.08,11.766,7.253,10.864,0.36
128.12,127.41,128.08,19.802,7.063,19.058,0.42
128.01,127.8,127.64,23.492,7.19,22.883,0.39
128.56,128.25,128.18,11.261,7.023,9.166,0.26
128.21,128.06,127.98,11.438,6.693,9.343,0.25
127.89,127.86,127.49,11.661,6.591,9.793,0.29
127.46,127.55,126.33,24.195,6.57,23.873,0.39
126.09,126.36,126.07,33.907,29.873,35.327,0.44
126.56,128.36,127.03,16.323,6.9,15.008,0.37
126.78,128.28,126.73,21.204,6.681,20.178,0.36
126.47,127.62,127.59,26.139,6.513,25.327,0.37
127.69,127.33,127.42,21.511,6.6,20.612,0.35
126.86,127.83,127.17,19.171,6.618,18.199,0.35
127.64,128.1,127.86,14.076,6.372,12.979,0.37
127.75,128.5,127.84,17.585,6.43,16.581,0.37
126.89,127.05,126.48,34.026,28.621,34.133,0.42
126.95,127.29,126.51,27.374,9.648,26.993,0.37
127.69,127.45,128.04,11.114,6.003,10.062,0.25
127.72,127.79,126.74,11.316,5.926,11.605,0.34
127.12,127.77,127.12,12.568,6.237,12.522,0.31
127.19,128.04,127.37,20.647,6.469,20.086,0.36
128.01,127.76,127.09,18.987,6.666,18.845,0.38
128.46,127.45,127.62,9.136,6.559,7.52,0.36
127.62,127.89,128.19,14.382,13.226,13.208,0.38
126.66,127.18,126.48,29.258,27.64,28.295,0.42
128.04,127.96,128.02,10.149,6.334,8.208,0.16
127.9,128.33,128.2,9.303,6.439,7.291,0.14
128.65,127.86,128.01,8.873,6.409,6.675,0.11
128.08,127.79,128.01,8.793,6.18,6.655,0.1
127.6,128.24,128.3,8.694,6.201,6.633,0.11
128.37,128.22,127.89,5.017,5.829,4.159,0.54
128.57,128.18,127.83,6.272,6.08,6.81,0.74
128.4,128.65,128.55,5.041,6.227,5.995,0.79
127.82,126.95,126.56,26.382,29.341,26.405,0.55
128.19,128.13,128.23,6.106,6.036,6.224,0.68
128.55,128.15,128.59,3.606,6.343,2.824,0.61
127.94,128.4,127.95,10.496,6.681,5.357,0.72
127.54,128.47,128.53,14.452,6.886,5.189,0.72
127,129,128.83,21.04,7.026,9.78,0.38
128.22,128.56,128.73,14.589,7.11,4.635,0.66
128.1,128.53,128.64,17.521,6.942,7.127,0.63
128.81,128.89,129.38,13.074,6.94,5.078,0.64
128.74,127.71,127.56,25.613,29.022,24.228,0.5
128.96,128.48,129.2,7.927,10.829,7.481,0.54
128.95,128.6,129.21,2.744,6.72,2.342,0.83
129.43,128.62,128.99,2.78,6.826,2.649,0.83
129.72,128.52,129.42,4.011,6.612,3.589,0.69
129.26,128.89,129.24,7.456,6.645,7.406,0.8
129.71,128.66,128.6,8.393,6.819,8.474,0.8
129.68,128.85,129.48,6.869,7.068,6.66,0.73
128.65,127.14,128.18,31.457,34.732,31.504,0.52
130.38,128.83,129.48,4.778,7.08,4.488,0.69
130.25,128.62,129.73,4.546,7.076,4.227,0.68
130.2,129.11,130.07,2.914,6.861,3.534,0.81
129.93,128.64,128.69,5.173,6.772,5.089,0.7
129.31,128.6,129.16,8.101,6.88,8.491,0.77
128.5,128.98,129.28,7.134,8.937,7.408,0.65
128.19,127.36,127.64,28.192,29.928,28.467,0.52
129.42,128.98,129.26,4.388,7.577,4.398,0.72
129.68,128.98,129.38,3.71,6.9,3.927,0.74
129.38,129.54,129.04,2.774,6.719,3.361,0.81
129.49,129.4,129.41,3.989,6.477,4.012,0.72
129.79,129.16,129.73,4.72,6.332,4.395,0.67
129.96,128.99,128.69,9.4,6.745,8.856,0.65
128.75,127.85,128.55,27.166,28.608,28.017,0.53
129.55,129.18,129.76,9.492,12.408,9.301,0.55
130.43,129.45,129.49,4.822,7.037,4.262,0.65
129.71,129.64,129.99,6.22,6.941,5.315,0.58
129.72,129.84,129.76,6.298,7.236,5.431,0.58
130.03,129.81,128.46,7.34,7.265,20.215,0.96
129.2,130.54,127.14,13.48,7.188,32.74,0.98
128.63,130.53,127.22,20.043,7.149,33.402,0.98
127.78,130.17,126.08,25.532,14.173,37.548,0.93
127.13,128.84,125.95,34.907,28.299,47.831,0.86
127.87,129.97,126.28,20.576,7.013,34.654,0.98
128.59,129.82,126.24,14.81,6.733,32.296,0.98
129.43,129.9,126.4,11.374,6.717,33.602,0.98
128.49,130.22,126.6,10.675,6.727,32.519,0.98
129.53,129.7,126.05,12.37,6.807,34.056,0.98
129.1,130.04,126.82,11.354,6.904,32.963,0.98
129.78,129.78,126.44,11.175,6.708,31.379,0.97
128.3,128.45,125.15,26.703,30.591,46.531,0.86
129.28,129.97,126.77,10.284,6.925,31.15,0.98
129.04,129.99,125.97,10.636,6.904,31.192,0.98
129.37,129.38,126.59,9.816,6.753,30.933,0.98
129.23,129.79,126.75,9.793,6.862,30.824,0.98
129.5,129.99,126.33,9.777,6.915,30.824,0.98
129.8,129.95,126.79,10.77,6.865,32.217,0.98
129.87,129.96,126.81,11.966,6.899,32.954,0.98
130.32,130.11,126.84,10.846,6.95,31.485,0.98
128.5,127.62,125.5,27.31,29.775,47.421,0.85
129.98,128.83,126.7,11.927,6.484,32.929,0.98
130.33,128.58,126.32,11.092,6.435,32.484,0.98
129.95,128.69,126.85,11.129,6.342,32.486,0.98
129.97,128.86,126.63,11.71,6.302,32.821,0.98
130.2,128.65,126.18,11.068,6.234,32.522,0.98
129.25,129.1,126.77,11.587,6.315,32.741,0.98
129.48,129.92,126.37,11.106,6.481,32.455,0.98
129.45,129.13,125.8,18.311,15.754,37.953,0.93
128.8,128.64,125.85,23.389,26.458,44.237,0.88
129.37,129.34,126.32,11.133,6.854,32.435,0.98
129.13,129.06,125.97,11.128,6.705,32.382,0.98
129.53,128.91,126.18,11.078,6.576,32.396,0.98
128.87,129.67,126.54,11.825,6.676,32.834,0.98
128.62,129.55,125.85,11.192,6.588,32.399,0.98
129.04,129.25,126.27,11.106,6.588,32.4,0.98
129.17,129.32,126.45,11.1,6.419,32.409,0.98
128.68,128.53,125.27,21.229,23.299,42.03,0.9
128.29,128.64,125.69,18.888,19.836,40.436,0.92
128.33,128.57,126.1,11.586,6.303,33.969,0.98
128.62,128.58,126.05,11.158,6.268,33.861,0.98
129.39,128.92,125.96,11.061,6.396,34.187,0.98
129.55,129.44,126.79,11.035,6.457,34.364,0.98
129.75,129.71,126.59,11.018,6.471,34.465,0.98
129.7,130.17,126.34,11.007,6.544,34.441,0.98
129.46,130.43,127.31,11.036,6.613,34.428,0.98
129.01,128.61,125.97,21.44,23.183,43.699,0.9
129.34,129.05,125.92,19.274,20.377,41.533,0.92
129.63,130.12,126.91,11.679,6.531,34.355,0.98
128.24,129.69,127.15,18.965,6.468,34.357,0.98
128.68,129.86,126.96,18.909,6.486,34.386,0.98
128.17,130.22,127.32,18.918,6.582,34.432,0.98
128.56,129.56,127.75,18.85,6.599,34.416,0.98
129.37,129.07,126.74,15.346,6.863,34.396,0.98
129.9,129.44,126.85,10.999,6.818,34.411,0.98
129.15,128.53,126.49,21.279,23.095,43.236,0.9
128.98,128.95,126.05,19.544,20.644,41.5,0.91
129.7,129.31,126.93,11.013,6.549,33.825,0.98
129.48,129.67,127.08,11.049,6.605,33.706,0.98
129.37,129.59,126.84,11.054,6.464,32.782,0.98
129.94,129.31,126.64,10.948,6.376,32.633,0.98
129.92,129.37,127.07,10.965,6.384,32.649,0.98
130.13,129.91,127.28,10.959,6.466,32.673,0.98
129.95,129.98,126.61,10.979,6.484,32.645,0.98
128.76,129.15,126.5,22.331,24.501,43.151,0.89
129.59,129.35,126.56,18.363,18.968,39.039,0.92
130.19,129.71,126.71,10.955,6.445,32.65,0.98
130.16,129.08,127.5,10.974,6.281,32.804,0.98
130.07,129.68,127.06,11.001,6.37,34.379,0.98
129.44,129.9,126.5,11.087,6.402,35.136,0.98
129.53,129.96,126.89,11.094,6.401,34.523,0.98
129.89,129.82,127.15,11.031,6.448,34.398,0.98
129.78,129.93,126.67,11.024,6.485,33.993,0.98
128.67,128.53,125.73,26.771,30.328,49.307,0.87
129.34,130.02,127.39,11.067,6.489,34.06,0.98
130.37,130.17,126.92,10.939,6.493,33.223,0.98
130.58,129.82,127.44,10.924,6.408,33.039,0.98
130.2,130.01,127.47,11.006,6.466,33.062,0.98
130.1,129.68,126.84,10.978,6.455,32.987,0.98
130.09,129.73,126.91,10.963,6.391,32.988,0.98
129.86,129.74,126.91,10.99,6.431,33.025,0.98
129.42,129.06,126.73,16.552,16.357,37.629,0.93
128.07,129,125.66,23.225,26.226,44.958,0.89
129.68,129.47,127.14,11.022,6.379,33.062,0.98
129.97,129.66,127.07,10.99,6.425,33.052,0.98
130.06,129.62,126.46,10.994,6.363,33.028,0.98
129.44,129.7,127.13,11.082,6.408,33.078,0.98
128.76,129.77,126.72,11.181,6.392,33.083,0.98
130.12,129.2,126.79,10.965,6.324,33,0.98
129.81,129.73,127.15,11.04,6.433,33.053,0.98
128.47,129.23,126.37,28.036,23.64,42.706,0.9
127.83,129.07,126.16,26.992,20.061,40.174,0.91
127.5,130.03,126.9,19.025,6.512,33.054,0.98
128.31,129.85,127.09,18.928,6.487,33.056,0.98
128.69,129.79,126.56,18.907,6.474,33.033,0.98
