IL1,IL2,IL3,PF
10.48,3.857,3.659,0.62
11.032,0.598,4.154,0.52
10.242,1.406,3.903,0.53
16.442,9.647,8.675,0.67
20.645,12.356,8.476,0.7
13.274,6.052,7.587,0.62
9.078,1.381,9.094,0.52
9.716,2.036,4.415,0.54
10.936,2.929,10.239,0.55
9.219,2.359,10.04,0.53
13.293,6.317,8.432,0.64
21.857,13.128,5.148,0.72
13.461,7.387,6.556,0.66
10.069,2.813,11.301,0.54
10.044,2.462,7.53,0.58
11.392,1.748,7.832,0.54
10.672,2.108,8.327,0.54
10.719,0.956,10.461,0.55
11.765,2.443,9.238,0.59
10.948,1.984,5.219,0.55
17.086,9.07,7.912,0.67
20.717,12.054,9.521,0.7
19.75,10.797,4.947,0.69
10.442,0.994,6.729,0.54
10.014,0.862,4.213,0.54
10.594,0.926,4.535,0.53
11.095,1.853,6.2,0.53
9.265,3.407,11.466,0.51
17.451,8.879,10.315,0.66
18.333,11.49,6.331,0.7
11.681,2.377,9.816,0.54
11.003,2.985,12.099,0.53
11.115,3.863,5.911,0.58
9.463,1.005,3.808,0.54
9.882,2.838,5.075,0.53
10.013,3.067,8.345,0.53
10.703,2.965,10.199,0.54
17.022,9.372,4.709,0.67
20.662,12.367,5.077,0.7
11.908,5.483,4.315,0.62
9.918,1.513,5.178,0.55
10.267,3.161,12.003,0.56
8.942,1.923,9.686,0.54
8.965,2.072,4.45,0.54
10.255,2.216,4.979,0.56
11.404,3.11,9.709,0.62
14.181,7.628,7.238,0.69
21.113,12.359,8.662,0.7
18.868,10.038,5.832,0.68
9.587,3.76,5.578,0.54
8.718,3.87,10.942,0.54
8.834,2.648,10.204,0.53
8.463,2.165,8.033,0.53
9.1,2.891,4.64,0.54
8.376,1.742,5.865,0.52
9.177,4.096,10.392,0.53
9.788,3.558,5.245,0.53
15.16,7.341,5.031,0.68
21.518,12.349,7.521,0.69
12.604,5.237,10.752,0.6
9.9,3.237,8.395,0.53
10.992,2.284,4.956,0.53
13.069,4.949,8.008,0.71
11.508,3.744,12.217,0.57
12.062,2.936,5.7,0.57
11.281,2.243,5.167,0.52
21.155,11.516,10.331,0.68
18.169,9.149,9.468,0.66
11.821,1.374,4.892,0.56
11.071,3.496,7.986,0.56
11.202,3.906,12.877,0.56
11.392,4.318,8.023,0.55
11.685,3.028,5.815,0.54
10.824,3.692,10.128,0.6
11.288,1.408,9.243,0.56
21.212,12.391,5.373,0.69
15.133,8.747,4.967,0.67
11.289,3.184,6.79,0.56
11.526,3.648,12.764,0.55
11.027,3.414,10.997,0.56
12.617,4.34,6.202,0.63
11.617,3.523,7.794,0.55
11.171,3.515,9.7,0.53
11.166,3.195,11.824,0.54
12.531,3.966,7.003,0.58
21.674,12.562,4.94,0.69
20.374,10.563,9.578,0.67
11.877,2.072,10.272,0.54
10.836,3.669,5.618,0.53
11.614,2.736,10.216,0.54
11.571,2.959,8.958,0.54
12.125,1.036,5.171,0.53
11.854,2.012,10.536,0.53
11.295,2.825,5.571,0.52
18.693,9.339,6.301,0.65
21.458,11.431,11.66,0.68
9.417,3.296,8.815,0.53
10.723,1.654,4.612,0.54
11.078,2.906,10.54,0.57
11.089,2.592,10.562,0.55
11.448,3.068,6.111,0.56
10.783,0.963,7.804,0.55
11.521,3.843,12.443,0.55
19.43,10.058,5.23,0.67
20.681,12.425,5.175,0.69
14.091,6.3,4.144,0.66
10.823,3.777,5.329,0.62
11.897,0.909,10.079,0.54
11.465,2.177,5.202,0.54
10.982,0.888,4.199,0.53
10.902,2.333,4.966,0.55
10.014,2.524,4.532,0.53
9.521,1.812,3.632,0.52
11.188,3.33,6.07,0.53
11.628,0.94,4.88,0.52
19.76,9.965,4.851,0.65
20.685,12.351,8.239,0.68
11.204,3.498,11.245,0.51
11.991,1.6,9.303,0.51
10.697,2.825,5.406,0.5
11.316,1.809,9.572,0.5
11.29,1.593,10.807,0.51
10.149,2.398,5.828,0.49
10.859,2.059,4.853,0.5
10.025,2.878,9.074,0.48
18.501,10.032,10.53,0.65
22.34,12.591,4.967,0.67
14.194,6.061,4.41,0.61
11.326,0.855,9.949,0.52
10.607,0.85,8.719,0.51
10.575,0.848,3.967,0.52
12.004,0.834,5.888,0.53
13.375,5.152,10.427,0.61
22.859,12.383,7.565,0.69
16.296,7.225,6.043,0.64
11.436,1.9,6.9,0.54
11.216,3.185,12.351,0.55
10.589,2.518,6.61,0.54
13.156,4.275,10.376,0.74
21.982,9.794,25.366,0.93
26.018,12.659,24.625,0.93
34.423,15.938,23.556,0.91
34.161,15.921,25.204,0.92
28.246,13.645,26.945,0.93
23.89,11.196,23.317,0.94
23.284,11.193,23.715,0.94
23.667,11.576,27.616,0.94
23.107,12.158,22.732,0.94
23.599,13.466,22.918,0.95
23.75,12.189,26.271,0.94
32.376,15.366,22.473,0.93
27.094,12.87,21.524,0.93
23.504,11.786,23.074,0.94
22.424,12.561,23.458,0.94
22.472,12.766,27.072,0.95
23.624,13.619,25.662,0.94
23.859,12.047,23.978,0.94
23.087,11.299,22.644,0.94
23.066,12.28,24.746,0.94
27.744,14.466,27.043,0.94
43.687,25.164,26.244,0.94
35.075,19.408,22.454,0.96
21.029,9.985,19.555,0.91
15.794,6.891,18.835,0.84
15.783,5.7,20.694,0.84
15.1,5.957,18.669,0.85
15.413,5.743,17.815,0.84
15.321,4.79,17.344,0.84
16.181,5.521,18.656,0.84
21.714,8.126,18.94,0.83
27.737,11.666,18.557,0.83
20.446,8.223,17.251,0.85
16.086,4.427,18.365,0.84
14.267,4.437,16.01,0.86
14.099,4.432,15.786,0.86
14.153,4.432,15.801,0.86
15.027,4.425,16.875,0.85
14.807,4.428,16.672,0.85
15.448,4.434,16.915,0.86
21.761,5.295,16.588,0.94
21.065,4.563,15.815,0.94
22.366,4.551,17.689,0.93
16.323,4.479,15.183,0.91
14.355,4.449,14.6,0.88
14.56,4.436,14.978,0.86
17.042,6.124,18.744,0.82
