VL1,VL2,VL3,IL1,IL2,IL3,PFL1
134.86,135.32,134.96,10.065,2.96,11.196,0.51
134.65,135.11,135.16,10.9,2.428,9.198,0.51
134.44,134.91,135.37,13.603,5.374,6.996,0.58
133.61,134.36,135.14,22.622,12.719,9.25,0.68
133.54,134.56,134.56,23.111,12.558,13.187,0.68
134.08,134.75,135.21,17.103,8.725,7.758,0.66
134.61,135.08,135.51,10.746,1.343,5.026,0.52
134.36,134.8,134.92,15.005,7.192,13.211,0.82
133.9,134.73,133.95,22.002,10.935,24.173,0.93
133.19,134.02,132.81,23.08,13.024,27.587,0.94
133.15,133.89,133.47,23.74,12.243,24.007,0.94
133.16,133.79,133.41,23.669,12.811,23.79,0.94
132.84,133.47,133.53,30.373,15.826,23.145,0.92
132.26,133.05,132.86,36.978,20.354,27.766,0.93
132.53,133.29,132.65,33.304,18.206,28.231,0.93
133.28,133.87,133.44,23.802,13.229,24.093,0.94
133.37,133.88,133.31,23.166,13.626,24.828,0.94
133.5,134,133.49,22.58,12.792,23.37,0.94
133.62,134.02,133.7,22.043,12.351,21.962,0.95
133.7,134.26,133.85,22.663,11.816,22.884,0.94
133.89,134.21,133.87,21.736,13.459,21.651,0.95
133.69,134.33,133.16,22.935,12.418,27.108,0.94
133.84,134.24,133.96,22.021,11.252,21.573,0.95
133.89,134.34,134.06,22.566,11.249,22.196,0.94
133.17,133.79,133.86,31.17,14.624,24.304,0.91
133.09,133.68,134.1,32.971,15.764,21.959,0.92
134.16,134.48,134.32,22.238,12.053,21.863,0.94
134.24,134.69,133.89,21.768,11.267,24.42,0.94
134.29,134.73,134.58,21.589,9.737,20.701,0.92
134.26,134.73,134.47,21.98,10.942,21.995,0.92
134.19,134.76,133.96,21.339,10.108,23.67,0.93
134.18,134.68,134.59,21.979,9.608,21.018,0.92
134.11,134.56,134.45,21.924,10.244,21.317,0.92
134.04,134.46,134.34,21.956,9.604,21.292,0.92
134.15,134.5,134.44,21.039,9.616,19.607,0.93
134.2,134.43,134.39,20.86,11.766,20.007,0.93
134.07,134.44,134.41,21.088,9.624,19.504,0.93
134.13,134.53,134.45,21.237,9.621,20.076,0.93
134.16,134.54,134.5,21.063,9.613,20.153,0.93
134.29,134.62,134.61,21.19,11.132,20.85,0.93
134.19,134.64,134.8,23.807,10.811,19.662,0.91
133.42,134.03,134.7,31.464,14.629,19.542,0.91
133.87,134.51,134.66,25.876,11.423,20.645,0.91
134.35,134.74,134.74,20.23,9.613,18.788,0.94
134.4,134.76,134.72,20.337,10.669,19.246,0.94
134.31,135.01,134.07,21.2,9.647,23.912,0.93
134.46,134.82,134.89,20.39,9.624,18.397,0.94
134.46,134.86,134.92,20.401,9.629,18.441,0.94
134.45,134.97,134.97,21.279,9.629,19.722,0.93
134.7,135.28,135.27,21.036,9.632,19.35,0.93
134.88,135.36,135.43,20.454,10.398,18.761,0.93
134.88,135.53,135.46,21.071,9.639,19.446,0.93
134.93,135.58,135.46,20.754,9.646,19.423,0.93
134.81,135.68,134.7,21.007,9.681,23.758,0.93
134.65,135.25,135.21,20.392,9.65,18.472,0.94
134.35,134.97,134.92,20.337,9.65,18.479,0.94
134.54,135.14,135.12,20.361,9.647,18.485,0.94
134.78,135.41,135.39,20.626,9.647,18.803,0.93
135.04,135.6,135.6,20.43,9.648,18.49,0.93
135.05,135.68,135.45,20.449,9.656,19.589,0.93
135.12,135.77,135.39,20.45,9.662,20.288,0.93
135.01,135.54,135.59,20.335,9.645,18.555,0.93
134.94,135.48,135.56,20.326,9.647,18.266,0.93
134.95,135.54,135.61,20.754,9.651,18.664,0.93
135.06,135.61,135.71,20.368,9.649,18.145,0.93
134.93,135.67,134.94,20.356,9.666,22.294,0.93
134.76,135.36,135.13,20.333,9.648,19.931,0.93
134.85,135.36,135.43,20.31,9.638,18.434,0.93
134.47,134.98,135.06,20.233,9.641,18.304,0.94
134.26,134.87,134.63,20.224,9.729,19.649,0.94
134.27,135.03,134.29,20.318,9.887,21.926,0.94
134.31,134.91,134.95,20.188,9.649,17.928,0.94
134.46,135.05,135.08,20.218,9.647,17.915,0.94
134.36,135,135.04,20.237,9.647,17.916,0.94
134.47,135.1,135.12,20.257,9.645,17.921,0.94
134.37,135.15,134.49,20.254,9.671,21.306,0.94
134.33,135.05,134.66,20.219,9.664,20.052,0.94
134.49,135.11,135.15,20.232,9.651,17.918,0.94
134.55,135.17,135.21,20.241,9.65,17.904,0.94
133.77,134.62,135.16,29.424,13.523,17.92,0.91
133.92,134.69,135.05,26.77,12.437,17.988,0.92
134.31,135.12,134.22,20.054,9.672,22.448,0.94
134.35,134.99,134.9,20.117,9.645,18.687,0.94
134.3,134.9,134.95,20.149,9.641,18.055,0.94
134.3,134.89,134.94,20.18,9.64,18.305,0.94
134.45,135.04,135.08,20.205,9.638,18.291,0.94
134.51,135.16,134.95,20.157,9.646,19.49,0.94
134.52,135.31,134.52,20.435,9.665,22.305,0.93
134.29,134.93,134.97,20.186,9.641,17.896,0.94
134.18,134.82,134.86,20.149,9.642,17.895,0.94
134.21,134.83,134.88,20.156,9.64,17.905,0.94
134.14,134.85,134.23,20.196,10.912,22.038,0.94
133.96,134.85,134.41,21.924,9.704,22.216,0.92
134.32,134.89,135.01,20.126,9.636,17.915,0.94
134.31,134.94,135.04,20.497,9.633,18.431,0.93
134.34,134.87,134.9,20.225,10.625,18.371,0.94
134.42,135.01,135.09,20.435,9.634,18.49,0.93
134.31,135.1,134.25,20.161,9.666,22.453,0.94
134.26,134.86,134.87,20.223,9.644,18.502,0.94
134.22,134.81,134.9,20.262,9.643,17.891,0.94
134.25,134.86,134.92,20.373,9.644,18.186,0.94
134.34,134.92,135,20.125,9.641,17.897,0.94
134.4,135.06,134.82,20.184,9.653,19.528,0.94
134.41,135.15,134.44,20.164,9.669,21.738,0.94
134.44,134.96,135.07,20.06,9.634,17.859,0.94
134.29,134.85,134.96,20.024,9.63,17.852,0.94
134.2,134.77,134.88,20.05,9.625,17.868,0.94
134.3,134.86,134.98,20.118,9.622,17.878,0.94
134.14,134.9,134.38,21.254,9.828,22.002,0.93
134.08,134.88,134.4,21.016,9.626,21.769,0.93
134.15,134.74,134.83,20.125,9.611,17.853,0.94
134.28,134.89,135,20.12,9.612,17.855,0.94
134.11,134.69,134.77,20.097,9.611,17.837,0.94
134.12,134.71,134.78,20.062,9.605,17.843,0.94
134.18,135,134.23,20.079,9.627,22.029,0.94
133.93,134.77,134.51,21.567,9.598,21.074,0.92
133.98,134.7,134.71,20.948,9.594,19.1,0.93
133.7,134.47,134.47,21.524,9.594,19.941,0.93
133.73,134.45,134.47,21.359,9.601,19.647,0.93
133.94,134.6,134.5,20.421,9.618,19.333,0.94
133.92,134.72,133.95,20.386,9.641,22.895,0.94
133.89,134.41,134.52,19.829,9.615,18.192,0.94
133.85,134.42,134.49,20.91,9.611,19.616,0.93
133.84,134.39,134.58,21.696,10.482,18.162,0.93
132.77,133.51,134.39,32.517,16.218,18.162,0.93
133.61,134.26,134.04,23.835,11.81,20.724,0.93
