VL1,VL2,VL3,IL1,IL2,IL3,PFL1
130.46,131.26,129.66,11.192,25.996,23.111,0.9
130.83,131.62,129.84,6.651,21.633,19.771,0.89
130.99,131.8,129.91,0,16.512,15.762,0.85
130.76,131.53,129.71,0,18.486,15.919,0.88
130.58,131.21,129.44,0,24.131,18.399,0.93
130.36,131.16,129.27,0,18.868,15.325,0.89
130.24,130.97,129.19,0,22.128,15.887,0.92
130.16,131.04,129.22,0,18.556,15.11,0.88
130.04,130.95,129.04,0,20.614,16.6,0.9
130.18,131.15,129.22,0,19.269,15.431,0.88
129.76,130.63,128.62,1.062,23.119,22.002,0.91
129.64,130.67,128.63,0.973,20.15,19.938,0.89
129.62,130.76,128.7,1.421,19.197,19.307,0.89
129.87,130.99,129.03,0,15.734,13.492,0.84
130.03,131.01,129.05,0,17.868,14.85,0.87
129.52,130.52,128.46,0.984,23.107,23.459,0.92
130.31,131.23,129.16,0,22.75,20.28,0.91
130.67,131.49,129.48,0,24.059,17.739,0.93
130.21,131.47,129.24,1.028,17.929,20.984,0.88
130.24,131.35,129.31,0,18.004,15.142,0.88
130.26,131.53,129.14,0,13.184,16.962,0.9
130.19,131.7,129.14,0.917,2.497,16.451,0.88
130.19,131.71,129.14,0,0,14.28,0.76
130.13,131.66,129.09,0,1.451,13.899,0.63
129.91,131.26,128.74,0,6.733,16.904,0.97
130.99,132.17,129.87,0,18.202,16.152,0.87
131.04,132.62,129.98,0,3.696,14.301,0.82
131.38,132.73,130.24,1.05,6.718,15.959,0.94
131.33,132.77,130.24,0,6.541,14.79,0.91
131.38,132.65,130.37,0,11.576,13.327,0.8
131.5,132.96,130.41,1.039,1.497,15.743,0.72
131.47,132.91,130.36,1.05,6.434,18.132,0.94
131.34,132.94,130.25,1.812,0.977,17.779,0.6
131.42,132.78,130.26,0,1.468,15.006,0.78
131.41,132.85,130.26,1.039,2.247,16.664,0.94
131.43,132.77,130.29,0.962,8.814,17.218,0.93
131.42,132.93,130.32,0,6.011,20.763,0.95
131.71,133.08,130.56,0,1.397,15.337,0.68
131.48,132.78,130.32,0,1.452,15.592,0.68
131.52,132.9,130.42,0,1.468,13.99,0.74
131.2,132.61,129.93,1.407,7.769,23.158,0.94
131.18,132.52,129.96,0,1.413,18.035,0.72
131.33,132.66,130.15,0,2.384,15.586,0.82
130.96,132.25,129.74,12.844,17.032,25.978,0.83
130.96,132.35,129.91,11.21,15.349,23.729,0.79
130.86,132.12,129.75,11.387,17.325,25.568,0.82
130.83,132.35,129.63,0,6.666,21.429,0.94
130.93,132.28,129.71,0,1.777,15.573,0.75
130.99,132.36,129.86,0,1.509,15.167,0.71
131.09,132.56,130.05,0,1.021,14.279,0.73
130.89,132.26,129.55,1.028,9.157,21.925,0.95
131,132.38,129.82,0.962,5.932,17.938,0.93
131.04,132.48,129.81,1.013,1.409,21.875,0.61
131.23,132.53,129.99,0,2.136,16.449,0.9
131.35,132.76,130.12,0.995,3.207,16.356,0.85
131.18,132.61,130.06,0,5.299,14.622,0.95
131.26,132.62,130.03,1.469,2.546,18.65,0.9
131.2,132.73,130.1,1.06,1.043,17.174,0.74
131.01,132.46,129.83,0,6.152,19.626,0.96
131.07,132.5,129.7,0.984,8.724,25.686,0.95
131.26,132.83,130.06,1.017,4.645,20.351,0.91
131.55,132.99,130.32,0.962,4.135,18.139,0.92
131.81,133.29,130.62,1.017,1.75,18.906,0.63
131.75,133.17,130.49,0,1.514,18.367,0.67
131.7,132.94,130.4,0,9.741,17.972,0.94
131.45,132.8,130.2,0.94,5.306,16.736,0.93
131.49,132.88,130.34,0,1.069,14.237,0.66
131.51,133.01,130.41,1.446,4.676,15.221,0.92
131.36,132.73,130.03,1.006,8.204,19.991,0.94
131.31,132.73,130.1,1.401,7.116,17.063,0.96
131.49,132.96,130.34,0,2.829,14.183,0.89
131.51,132.9,130.28,0,8.297,17.256,0.94
131.49,133.05,130.36,1.017,1.358,17.137,0.71
131.48,133.14,130.48,0,0,13.925,0.69
131.16,132.81,130.2,1.028,0,15.133,0.72
131.15,132.78,130.18,0,0,15.166,0.75
130.99,132.49,129.93,1.415,1.382,19.329,0.68
130.85,132.23,129.78,1.511,7.085,20.591,0.91
130.98,132.43,130.02,0.962,1.389,15.18,0.66
131.11,132.41,130.1,0,1.032,14.482,0.76
131.17,132.49,130.19,0.94,2.938,14.538,0.85
131.32,132.57,130.28,1.05,7.134,13.765,0.9
131.32,132.55,130.24,1.061,9.769,16.188,0.93
131.28,132.61,130.27,0,6.142,15.376,0.88
131.33,132.62,130.37,0,5.971,13.903,0.9
131.76,132.97,130.67,0,7.091,13.816,0.89
131.78,132.84,130.65,8.604,19.131,22.367,0.84
131.3,132.57,130.53,12.139,16.021,20.448,0.74
131.18,132.38,130.32,11.748,20.32,21.832,0.82
131.5,132.8,130.64,6.501,12.361,14.994,0.81
131.64,132.9,130.76,0,6.149,7.906,0.88
131.69,132.94,130.83,1.061,7.184,10.534,0.89
131.83,133.18,130.98,0.984,6.037,11.681,0.89
131.45,132.69,130.52,1.028,6.925,10.41,0.89
130.88,131.92,130.16,0,14.944,8.797,0.9
130.95,131.95,130.28,1.039,19.755,12.603,0.89
131.1,132.17,130.44,0,17.86,13.381,0.87
131.48,132.53,130.75,0,17.549,10.531,0.87
131.7,132.69,130.87,0,19.358,9.823,0.89
131.77,132.9,131.05,0,15.729,4.912,0.85
130.46,131.67,129.81,1.017,15.291,7.595,0.84
130.38,131.55,129.63,0,17.316,10.214,0.87
130.43,131.72,129.74,1.724,15.232,8.436,0.83
130.48,131.79,129.71,1.738,17.54,14.555,0.88
130.44,131.73,129.69,0,18.023,11.167,0.88
129.83,131.33,129.27,1.245,23.261,14.197,0.89
128.94,130.81,128.49,7.979,24.714,18.89,0.91
129.79,131.84,129.32,7.744,24.66,17.961,0.9
129.53,131.59,129.15,4.341,24,14.963,0.9
129.78,131.73,129.27,2.752,26.364,15.301,0.92
129.38,131.5,128.92,7.215,25.316,17.649,0.91
129.55,131.49,129.07,0,26.813,12.903,0.92
129.93,131.91,129.45,0,27.509,12.435,0.92
129.81,131.92,129.37,0,24.623,11.69,0.9
129.53,131.64,129.1,0,26.062,12.316,0.92
129.6,131.79,129.2,0,25.095,11.899,0.91
