IL1,IL2,IL3,PF
0,3.049,12.904,0.86
0,1.032,13.488,0.66
1.423,8.729,16.824,0.95
0.984,2.026,19.048,0.96
1.046,1.439,13.399,0.71
1.43,2.547,17.532,0.87
0.907,7.986,19.438,0.94
0,0.899,12.62,0.51
12.893,18.171,26.777,0.84
10.964,16.048,23.433,0.8
11.451,21.025,26.318,0.86
0.973,6.185,13.511,0.97
1.006,9.294,18.143,0.96
1.399,3.055,15.234,0.89
1.046,7.069,15.938,0.95
1.021,1.319,14.549,0.7
0,1.622,10.799,0.66
0,6.039,11.923,0.92
0.962,8.54,13.773,0.97
1.407,8.917,18.954,0.96
0,13.94,11.708,0.86
1.415,9.262,15.322,0.93
0,1.719,17.782,0.69
0,5.399,16.477,0.95
0.95,2.926,13.309,0.89
0.973,5.95,15.79,0.97
1.032,1.411,14.075,0.64
0,8.748,13.826,0.94
0.995,1.822,7.122,0.66
0,8.48,10.537,0.95
0,1.681,9.178,0.74
1.061,5.016,11.745,0.94
0.995,1.649,8.735,0.63
1.017,1.397,12.069,0.7
1.028,1.736,11.198,0.7
0,1.351,10.804,0.64
1.045,0.877,12.77,0.68
0,4.051,4.653,0.92
0,10.32,13.303,0.96
0,0.954,9.542,0.63
1.039,1.513,10.447,0.73
0,2.372,4.179,0.83
0.984,3.014,9.895,0.94
0,7.034,12.089,0.95
1.039,1.653,7.505,0.72
0,3.71,6.292,0.94
10.408,25.437,18.74,0.88
11.299,24.912,18.17,0.88
13,25.427,20.236,0.88
1.017,15.32,8.414,0.84
0.995,16.031,7.461,0.86
